# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
GJ 9827 d,Confirmed,0.01,0.0082,0.0082,,,,0.19,0.027,0.027,6.20,0.00013,0.00013,0.0627,0.005,0.005,0,,,87.39,0.23,0.23,,2017,11/7/2017,,,,,,,,,,2457740.961,0.00085,0.00085,,,,,,,0.91,0.09,0.09,,,,1.73,1.2,1.2,604.9,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.30,1.6,1.6,-0.28,0.12,0.12,0.66,0.06,0.06,0.65,0.065,0.065,K6V,,,,4255,110,110,,,
GP Com b,Confirmed,26.20,16.6,16.6,,,,,,,0.03,,,,,,,,,55.5,22.5,22.5,,2016,1/25/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,GP Com,196.4267917,18.01777778,16.22,,,,,,,,,,,0.33,0,inf,,,,DBe D,,,,,,,,,
GQ Lup b,Confirmed,21.50,20.5,20.5,,,,1.80,,,,,,103,37,37,,,,,,,0.735714,2005,12/6/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GQ Lup,237.3,-35.6508333,11.4,,,,,140.00,50,50,,,,0.70,,,,,,K7eV,0.00,0.001,0.001,,,,Imaging,,
GSC 6214-210 b,Confirmed,17.00,3,3,,,,,,,,,,320,0,0,,,,,,,2.206897,2010,1/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145.00,14,14,,,,0.60,,,,,,M1,0.01,0.002,0.002,,,,,,
GU Psc b,Confirmed,11.00,1,1,,,,1.35,0.03,0.03,,,,2000,200,200,,,,,,,,2014,3/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.14583335,17.06555557,13.55,,,,,48.00,5,5,,,,0.35,,,,,,M3,0.10,0.03,0.03,,,,,,
HAT-36 b,Confirmed,2.79,0.4,0.4,,,,1.26,0.045,0.045,4.18,2.10E-06,2.10E-06,0.0529,0.0011,0.0011,0.294,0.294,0,87.57,0.36,0.36,,2017,6/29/2017,,,,,,,2457289.411,6.90E-05,6.90E-05,,,,,,,,,,0.406,0.57,0.44,,,,324,45,45,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,EPIC 215969174  b,,HATS-36,291.4785,-23.20277778,14.386,,,,,977.00,42,42,0.13,0.1,0.1,1.14,0.067,0.067,1.19,0.036,0.036,G0V,3.40,1.4,1.9,5970,160,160,,,"2MASS 19255488-2312100, EPIC 215969174"
HAT-P-1 b,Confirmed,0.53,0.019,0.019,,,,1.32,0.019,0.019,4.47,5.50E-07,5.50E-07,0.05561,0.00083,0.00083,0.067,inf,nan,85.634,0.056,0.056,0.000398,2006,4/30/2015,360,,,,,,,,,2453979.932,0.00024,0.00024,,,,,,,,,,,,,,,,1322,,,,,,,,,Published in a refereed paper,Primary Transit,,,,"H2O, O I, K, C",HAT-P-1,344.4458333,38.675,10.4,,,,,139.00,20,20,0.13,0.008,0.008,1.15,0.052,0.052,1.17,0.03,0.03,GOV,3.60,,,5980,49,49,,,
HAT-P-11 b,Confirmed,0.08,0.008998521,0.008998521,,,,0.42,1.338212754,1.338212754,4.89,3.00E-08,3.00E-08,0.053,0.0008,0.0008,0.265,0.0009,0.0003,89.05,0.09,0.15,0.001395,2009,11/2/2016,198,0.094,0.2,,,,,,,2454605.891,0.00032,0.00032,,,,,,,0.209,0.032,0.019,,,,,,,750,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-11,297.7083333,48.0808333,9.59,,,,,38.00,1.3,1.3,0.31,0.05,0.05,0.81,0.03,0.03,0.75,0.02,0.02,K4,6.50,4.1,4.1,4780,50,50,,,
HAT-P-12 b,Confirmed,0.21,0.013183148,0.013183148,,,,0.95,0.020519262,2.854853876,3.21,2.10E-06,2.10E-06,0.0384,0.0003,0.0003,0,,,,,,0.000269,2009,5/21/2014,,,,,,,,,,2454419.196,0.0002,0.0002,,,,,,,,,,,,,,,,,,,1000,,,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-12,209.3916667,43.4936111,12.84,,,,,142.50,3.3,3.3,-0.29,0.05,0.05,0.73,0.02,0.02,0.70,0.01,0.01,,2.50,2,2,4650,60,60,,,
HAT-P-13 b,Confirmed,0.85,0.038,0.038,,,,1.28,0.079,0.079,2.92,3.00E-06,3.00E-06,0.0426,0.0012,0.0012,0.0142,0.0044,0.0044,83.3,0.62,0.62,0.000199,2009,1/5/2017,223,38,38,,,,,,,2455176.539,0.00034,0.00034,2454779.931,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214.00,12,12,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5.00,0.8,0.8,5638,90,90,,,
HAT-P-13 c,Confirmed,14.28,0.28,0.28,14.28,0.28,0.28,,,,446.27,0.22,0.22,1.186,0.033,0.033,0.6616,0.0054,0.0054,,,,0.005542,2009,8/22/2014,175.29,0.35,0.35,2454890.05,0.48,0.48,2455312.8,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214.00,12,12,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5.00,0.8,0.8,5638,90,90,,,
HAT-P-14 b,Confirmed,2.20,0.04,0.04,,,,1.20,0.04,0.04,4.63,5.00E-06,5.00E-06,0.0594,0.0004,0.0004,0.095,0.011,0.011,83.2,0.2,0.2,0.00029,2010,1/17/2017,99,4,4,,,,,,,2455134.439,0.00027,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,WASP-27 b,,HAT-P-14,260.1166667,38.2422222,9.98,,,,,205.00,11,11,0.11,0.08,0.08,1.39,0.045,0.045,1.47,0.054,0.054,F,1.30,0.4,0.4,6600,90,90,,,
HAT-P-15 b,Confirmed,1.95,0.066,0.066,,,,1.07,0.043,0.043,10.86,27,27,0.0964,0.0014,0.0014,0.19,0.019,0.019,89.1,0.2,0.2,0.000507,2010,5/31/2010,262,1,1,,,,,,,2454638.56,0.00048,0.00048,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-15,66.25,39.4605556,12.16,,,,,190.00,8,8,0.22,0.08,0.08,1.01,0.043,0.043,1.08,0.043,0.043,G5,6.80,1.6,1.6,5568,90,90,,,
HAT-P-16 b,Confirmed,4.19,0.094,0.094,,,,1.29,0.066,0.066,2.78,3.00E-06,3.00E-06,0.0413,0.0004,0.0004,0.036,0.004,0.004,86.6,0.7,0.7,0.000176,2010,7/22/2013,214,8,8,,,,,,,2455027.593,0.00031,0.00031,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-16,9.575,42.4630556,10.8,,,,,235.00,10,10,0.17,0.08,0.08,1.22,0.039,0.039,1.24,0.054,0.054,F8,2.00,0.8,0.8,6158,80,80,,,
HAT-P-17 b,Confirmed,0.53,0.018,0.018,,,,1.01,,,10.34,,,0.0882,,,0.346,,,89.2,,,0.00098,2010,5/31/2013,201,,,,,,,,,2454804.246,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90.00,3,3,0,,,0.86,0.039,0.039,0.84,,,K,7.80,,,5246,,,,,
HAT-P-17 c,Confirmed,1.40,,,1.4,,,,,,1798.00,,,2.75,,,0.1,,,,,,0.030556,2010,12/10/2010,155,,,2452636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90.00,3,3,0,,,0.86,0.039,0.039,0.84,,,K,7.80,,,5246,,,,,
HAT-P-18 b,Confirmed,0.18,0.032,0.034,,,,0.95,0.044,0.044,5.51,4.20E-06,4.20E-06,0.0559,0.0007,0.0007,0.106,0.084,0.15,88.79,0.21,0.21,0.000337,2010,11/12/2015,120,56,56,,,,,,,2454715.023,0.00039,0.00039,2454717.65,0.13,0.13,132,15,15,0.324,0.057,0.057,,,,,,,841,,,,,,,,2.734,Published in a refereed paper,Primary Transit,,,HAT-18b,,HAT-P-18,256.35,33.0125,12.76,,,,,166.00,9,9,0.1,8,8,0.77,0.031,0.031,0.72,0.026,0.026,K,12.40,6.4,6.4,4870,50,50,,,
HAT-P-19 b,Confirmed,0.29,0.018,0.018,,,,1.13,0.072,0.072,4.01,7.00E-07,7.00E-07,0.0466,0.0008,0.0008,0.067,0.042,0.042,88.51,0.22,0.22,0.000217,2010,8/26/2015,256,77,77,,,,,,,2455091.535,0.00015,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-19,9.5166667,34.7116667,12.9,,,,,215.00,15,15,0.23,0.08,0.08,0.84,0.042,0.042,0.82,0.048,0.048,K,8.80,5.2,5.2,4990,130,130,,,
HAT-P-2 b,Confirmed,8.74,0.26,0.26,,,,0.95,0.053,0.053,5.63,6.10E-06,6.10E-06,0.0674,0.00081,0.00081,0.5171,0.0033,0.0033,90,0.93,0.93,0.000571,2007,9/20/2012,185.22,0.95,0.95,2454213.479,0.003,0.003,,,,2454387.494,0.00074,0.00074,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-2,245.15,41.0480556,8.71,,,,,118.00,8,8,0.04,0.05,0.05,1.34,0.09,0.09,1.54,0.12,0.12,F8,2.70,0.5,0.5,6414,51,51,,,
HAT-P-20 b,Confirmed,7.25,0.187,0.187,,,,0.87,0.033,0.033,2.88,4.00E-06,4.00E-06,0.0361,0.0005,0.0005,0.015,0.0005,0.0005,81.9,0.1,0.1,0.000516,2010,2/13/2017,317,130,130,,,,,,,2456708.356,8.80E-05,8.80E-05,,,,172,6.9,6.9,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-20,111.9166667,24.3363889,11.34,,,,,70.00,3,3,0.35,0.08,0.08,0.76,0.028,0.028,0.69,0.21,0.21,K7,6.70,3.8,3.8,4595,80,80,,,
HAT-P-21 b,Confirmed,4.06,0.161,0.161,,,,1.02,0.092,0.092,4.12,7.00E-06,7.00E-06,0.0494,0.0007,0.0007,0.228,0.016,0.016,87.2,0.7,0.7,0.000194,2010,9/28/2014,300,3,3,,,,,,,2454996.413,0.00069,0.00069,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-21,171.275,41.0280556,11.46,,,,,254.00,19,19,0.01,0.08,0.08,0.95,0.042,0.042,1.11,0.083,0.083,G3,10.20,2.5,2.5,5588,80,80,,,
HAT-P-22 b,Confirmed,2.15,0.061,0.061,,,,1.08,0.058,0.058,3.21,9.00E-06,9.00E-06,0.0414,0.0005,0.0005,0.016,0.009,0.009,73.6,3.7,3.7,0.000505,2010,8/20/2015,156,66,66,,,,,,,2456706.589,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-22,155.6833333,50.1283333,9.73,,,,,82.00,3,3,0.24,0.08,0.08,0.92,0.035,0.035,1.04,0.044,0.044,G5,12.40,2.6,2.6,5302,80,80,,,
HAT-P-23 b,Confirmed,2.09,0.11,0.11,,,,1.37,0.09,0.09,1.21,2.00E-05,2.00E-05,0.0232,0.0002,0.0002,0.106,0.044,0.044,85.1,1.5,1.5,5.90E-05,2010,5/20/2011,118,25,25,,,,,,,2454852.265,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-23,306.125,16.7622222,11.94,,,,,393.00,25,25,0.16,0.03,0.03,1.13,0.05,0.05,1.29,0.05,0.05,G5,4.00,1,1,5924,30,30,,,
HAT-P-24 b,Confirmed,0.69,0.033,0.033,,,,1.24,0.067,0.067,3.36,7.00E-06,7.00E-06,0.0465,0.0006,0.0006,0.067,0.024,0.024,88.6,0.7,0.7,0.000152,2010,7/5/2012,197,36,36,,,,,,,2455216.977,0.00028,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-24,108.825,14.2622222,11.82,,,,,306.00,20,20,-0.16,0.08,0.08,1.19,0.042,0.042,1.32,0.068,0.068,F8,2.80,0.6,0.6,6373,80,80,,,
HAT-P-25 b,Confirmed,0.57,,,,,,1.19,,,3.65,,,0.0466,,,0.032,,,87.6,,,0.000157,2010,5/31/2013,271,,,,,,,,,2455176.852,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-25,48.4375,25.1975,13.19,,,,,297.00,13,13,0.31,0.08,0.08,1.01,0.032,0.032,0.96,0.037,0.037,G5,3.20,2.3,2.3,5500,80,80,,,
HAT-P-26 b,Confirmed,0.06,0.007173646,0.007173646,,,,0.56,0.051744227,0.051744227,4.23,1.50E-05,1.50E-05,0.0479,0.0006,0.0006,0.124,0.06,0.06,88.6,0.9,0.9,0.000357,2010,7/4/2017,54,165,165,,,,,,,2455304.651,0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,H2O,HAT-P-26,213.1564042,4.06003612,11.74,,,,,134.00,8,8,-0.04,0.08,0.08,0.82,0.033,0.033,0.79,0.043,0.043,K1,9.00,4.9,4.9,5079,88,88,,,
HAT-P-27-WASP-40 b,Confirmed,0.66,0.033,0.033,,,,1.06,0.036,0.036,3.04,1.50E-06,1.50E-06,0.0403,0.0005,0.0005,0.078,0.047,0.047,85.08,0.07,0.07,0.000198,2011,8/26/2015,63,64,64,,,,,,,2455186.02,0.00044,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-27-WASP-40,222.7666667,5.9472222,12.21,,,,,204.00,14,14,0.29,0.1,0.1,0.95,0.035,0.035,0.90,0.039,0.039,G8,4.40,2.6,2.6,5300,90,90,,,
HAT-P-28 b,Confirmed,0.63,0.037,0.037,,,,1.21,0.082,0.113,3.26,7.00E-06,7.00E-06,0.0434,0.0007,0.0007,0.051,0.033,0.033,88,0.9,0.9,0.00011,2011,5/25/2014,233,90,90,,,,,,,2455417.598,0.00053,0.00053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-28,13,34.7283333,13.03,,,,,395.00,26,26,0.12,0.08,0.08,1.03,0.047,0.047,1.10,0.069,0.069,G3,6.10,1.9,1.9,5680,90,90,,,
HAT-P-29 b,Confirmed,0.78,0.04,0.076,,,,1.11,0.082,0.136,5.72,4.90E-05,4.90E-05,0.0667,0.0008,0.0008,0.095,0.047,0.047,87.1,0.7,0.5,0.000207,2011,5/30/2014,169,30,30,,,,,,,2455197.575,0.00181,0.00181,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-29,33.1291667,51.7788889,11.9,,,,,322.00,21,21,0.21,0.08,0.08,1.21,0.046,0.046,1.22,0.075,0.075,F8,2.20,1,1,6087,88,88,,,
HAT-P-3 b,Confirmed,0.59,0.018,0.018,,,,0.83,0.055,0.055,2.90,5.40E-05,5.40E-05,0.03866,0.00041,0.00041,0,0,0,87.07,0.55,0.55,0.000297,2007,5/7/2013,,,,,,,,,,2454856.701,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-3,206.0958333,48.0286111,11.86,,9.936,9.542,9.448,130.00,10,10,0.41,0.08,0.08,0.92,0.03,0.03,0.80,0.039,0.039,K,1.60,1.3,1.3,5224,69,69,,,
HAT-P-30-WASP-51 b,Confirmed,0.71,0.028,0.028,,,,1.34,0.065,0.065,2.81,5.00E-06,5.00E-06,0.0419,0.0005,0.0005,0.035,0.024,0.024,83.6,0.4,0.4,0.000217,2011,5/31/2013,252,84,84,,,,,,,2455456.466,0.00037,0.00037,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-30-WASP-51,123.95,5.8366667,10.42,,,,,193.00,8,8,-0.08,0.08,0.08,1.18,0.03,0.03,1.33,0.03,0.03,F,1.00,0.5,0.5,6250,100,100,,,
HAT-P-31 b,Confirmed,2.17,0.077,0.105,,,,1.07,0.16,0.24,5.01,9.20E-05,9.10E-05,0.055,0.015,0.015,0.245,0.0045,0.0045,87.1,2.7,2.7,0.000155,2011,5/25/2014,274.3,1.8,1.8,,,,,,,2454320.887,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-31,271.5375,26.4266667,11.66,,,,,354.00,51,51,0.15,0.08,0.08,1.22,0.063,0.063,1.36,0.18,0.18,,3.17,1.11,1.11,6065,100,100,,,
HAT-P-32 b,Confirmed,0.94,0.166,0.166,,,,2.04,0.099,0.099,2.15,1.00E-06,1.00E-06,0.0344,0.0007,0.0007,0.163,0.061,0.061,88.7,0.6,0.6,0.000108,2011,5/30/2014,52,29,29,,,,,,,2454416.146,9.00E-05,9.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-32,31.04166667,46.6877778,11.29,,,,,320.00,16,16,-0.16,0.08,0.08,1.18,0.07,0.07,1.39,0.067,0.067,F/G,3.80,0.5,0.5,6001,88,88,,,
HAT-P-33 b,Confirmed,0.76,0.117,0.117,,,,1.83,0.29,0.29,3.47,1.00E-06,1.00E-06,0.0503,0.0011,0.0011,0.148,0.081,0.081,86.7,1.2,1.2,0.00012,2011,5/31/2013,96,119,119,,,,,,,2455100.503,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-33,113.1833333,33.835,11.89,,,,,419.00,66,66,0.05,0.08,0.08,1.40,0.096,0.096,1.78,0.28,0.28,F,2.40,0.4,0.4,6401,88,88,,,
HAT-P-34 b,Confirmed,3.33,0.211,0.211,,,,1.11,0.092,0.092,5.45,1.60E-05,1.60E-05,0.0677,0.0008,0.0008,0.441,0.052,0.052,87.1,1.2,1.2,0.000263,2012,7/5/2012,20,14,14,,,,,,,2455431.596,0.00055,0.00055,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-34,303.1958333,18.105,10.16,,,,,257.00,17,17,0.08,0.05,0.05,1.36,0.01,0.01,1.45,0.11,0.11,,1.70,0.5,0.5,6509,51,51,,,
HAT-P-35 b,Confirmed,1.05,0.033,0.033,,,,1.33,0.098,0.098,3.65,2.10E-05,2.10E-05,0.0498,0.0006,0.0006,0.025,0.018,0.018,87.3,1,1,9.30E-05,2012,1/9/2018,248,93,93,,,,,,,2455578.661,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-35,123.25,4.7869444,12.46,,,,,535.00,32,32,0.11,0.08,0.08,1.24,0.048,0.048,1.44,0.084,0.084,,3.50,0.5,0.5,6096,88,88,,,
HAT-P-36 b,Confirmed,1.83,0.099,0.099,,,,1.26,0.071,0.071,1.33,3.00E-06,3.00E-06,0.0238,0.0004,0.0004,0.063,0.032,0.032,86,1.3,1.3,7.50E-05,2012,1/14/2012,95,63,63,,,,,,,2455565.181,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-36,188.2625,44.9152778,12.26,,,,,317.00,17,17,0.26,0.08,0.08,1.02,0.049,0.049,1.10,0.056,0.056,,6.60,1.8,1.8,5580,100,100,,,
HAT-P-37 b,Confirmed,1.17,0.103,0.103,,,,1.18,0.077,0.077,2.80,7.00E-06,7.00E-06,0.0379,0.0006,0.0006,0.058,0.038,0.038,86.9,0.5,0.5,9.20E-05,2012,1/14/2012,164,14,14,,,,,,,2455641.143,0.00029,0.00029,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-37,284.2958333,51.2691667,13.23,,,,,411.00,26,26,0.03,0.1,0.1,0.93,0.043,0.043,0.88,0.044,0.044,,3.60,2.2,2.2,5500,100,100,,,
HAT-P-38 b,Confirmed,0.27,0.02,0.02,,,,0.83,0.063,0.063,4.64,3.20E-05,3.20E-05,0.0523,0.0009,0.0009,0.067,0.047,0.047,88.3,0.7,0.7,0.00021,2012,1/25/2012,240,104,104,,,,,,,2455863.12,0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-38,35.38300001,32.24633335,12.56,,,,,249.00,19,19,0.06,0.1,0.1,0.89,0.044,0.044,0.92,0.067,0.067,G,10.10,4.8,4.8,5330,100,100,,,"2MASS J02213197+3214461, GSC 02314-00559"
HAT-P-39 b,Confirmed,0.60,0.099,0.099,,,,1.57,0.081,0.108,3.54,5.00E-06,5.00E-06,0.0509,0.0006,0.0006,,,,87,1,1,,2012,5/21/2014,,,,,,,,,,2455208.75,0.00041,0.00041,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-39,113.7583,17.83,11.422,,,,,642.00,29,29,0.19,0.1,0.1,1.40,0.051,0.051,1.63,0.062,0.081,,2.00,0.4,0.4,6430,100,100,,,
HAT-P-4 b,Confirmed,0.68,0.04,0.04,,,,1.27,0.05,0.05,3.06,2.80E-06,2.80E-06,0.0446,0.0012,0.0012,0,,,89.67,0.3,0.3,0.000144,2007,5/7/2013,,,,,,,,,,2454502.562,0.00021,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-4,229.9916667,36.2297222,11.2,,,,,310.00,30,30,0.2,0.08,0.08,1.26,0.14,0.14,1.59,0.07,0.07,F,4.20,-0.6,-0.6,5890,67,67,,,
HAT-P-40 b,Confirmed,0.62,0.038,0.038,,,,1.73,0.062,0.062,4.46,1.00E-05,1.00E-05,0.0608,0.0015,0.0006,,,,88.3,0.9,0.9,,2012,7/10/2014,,,,,,,,,,2455813.176,0.00054,0.00054,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-40,335.5125,45.4575,11.699,,,,,501.00,16,16,0.22,0.1,0.1,1.51,0.109,0.045,2.21,0.061,0.061,,2.70,0.3,0.9,6080,100,100,,,
HAT-P-41 b,Confirmed,0.80,0.102,0.102,,,,1.69,0.051,0.076,2.69,4.00E-06,4.00E-06,0.0426,0.0005,0.0005,,,,87.7,1,1,,2012,8/7/2017,,,,,,,,,,2454983.862,0.00107,0.00107,,,,338,6,0.8,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-41,297.3208,4.6725,11.087,,,,,344.00,8,12,0.13,0.05,0.05,1.28,0.09,0.09,1.19,0.08,0.08,,2.20,0.4,0.4,6479,51,51,,,
HAT-P-42 b,Confirmed,0.98,0.126,0.126,,,,1.28,0.149,0.149,4.64,3.20E-05,3.20E-05,0.0575,0.0011,0.0011,0,,,85.9,0.8,1.3,,2012,4/29/2013,,,,,,,,,,2455952.526,0.00077,0.00077,,,,,,,,,,,,,,,,1427,,,,,,,,3.17,Submitted to a professional journal,Primary Transit,,,,,HAT-P-42,135.3458,6.0972,12.168,,10.96,,,447.00,40,40,0.27,0.08,0.08,1.18,0.067,0.067,1.53,0.136,0.136,,5.10,0.7,1.8,5743,50,50,,,
HAT-P-43 b,Confirmed,0.66,0.083,0.083,,,,1.28,0.034,0.057,3.33,1.60E-05,1.60E-05,0.0443,0.0006,0.0004,0,,,88.7,0.7,0.7,,2012,4/29/2013,,,,,,,,,,2455997.371,0.00033,0.00033,,,,,,,,,,,,,,,,1361,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-43,128.925,10.2067,13.36,,,,,543.00,18,18,0.23,0.08,0.08,1.05,0.042,0.031,1.10,0.022,0.036,,5.70,1.1,1.9,5645,74,74,,,
HAT-P-44 b,Confirmed,0.39,0.031,0.031,,,,1.28,0.074,0.145,4.30,1.80E-05,1.80E-05,0.0507,0.0007,0.0007,0.072,0.071,0.071,89,0.5,0.5,,2013,5/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-44,213.1458,47.0147,13.212,,,,,374.00,23,42,0.33,0.1,0.1,0.94,0.041,0.041,0.98,0.11,0.055,,8.90,3.9,3.9,5295,100,100,,,
HAT-P-44 c,Confirmed,1.60,0.2,0.2,,,,,,,219.90,4.5,4.5,0.699,0.014,0.014,,,,,,,,2013,8/14/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-44,213.1458,47.0147,13.212,,,,,374.00,23,42,0.33,0.1,0.1,0.94,0.041,0.041,0.98,0.11,0.055,,8.90,3.9,3.9,5295,100,100,,,
HAT-P-45 b,Confirmed,0.89,0.099,0.137,,,,1.43,0.087,0.175,3.13,1.00E-05,1.00E-05,0.0452,0.0007,0.0007,0.049,0.063,0.063,87.8,0.9,0.9,,2013,5/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-45,274.375,-3.3811,12.794,,,,,305.00,17,35,0.07,0.1,0.1,1.26,0.058,0.058,1.32,0.072,0.155,,2.00,0.8,0.8,6330,100,100,,,
