# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
24 Sex b,Confirmed,1.99,0.38,0.26,1.99,0.38,0.26,,,,452.80,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,5/23/2014,9.2,165.4,277.9,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.80,4.9,4.9,-0.03,0.04,0.04,1.54,0.08,0.08,4.90,0.08,0.08,G5,2.70,0.4,0.4,5098,44,44,,,
24 Sex c,Confirmed,0.86,0.22,0.35,0.86,0.22,0.35,,,,883.00,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,5/23/2014,220.5,320.9,182.2,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.80,4.9,4.9,-0.03,0.04,0.04,1.54,0.08,0.08,4.90,0.08,0.08,G5,2.70,0.4,0.4,5098,44,44,,,
2M 0103-55 (AB) b,Confirmed,13.00,1,1,,,,,,,,,,84,,,,,,,,,,2013,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.20,3.1,3.1,,,,0.40,,,,,,M,0.03,,,,,,,,
2M 0122-24 b,Confirmed,20.00,7,7,,,,1.00,0.2,0.2,,,,52,6,6,,,,,,,,2013,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,Published in a refereed paper,Imaging,,,,,2M 0122-24,20.7125,-24.6142,,,,,,36.00,4,4,,,,0.40,0.05,0.05,,,,M3.5,0.12,0.01,0.01,,,,,,
2M 0219-39 b,Confirmed,13.90,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.84166667,-39.42305557,,,,,,39.40,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064,76,76,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.50,2.5,2.5,,,,,,,,,,15,0.6,0.6,,,,,,,0.107143,2010,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140.00,,,,,,0.02,,,,,,M8.5,0.00,,,,,,,,
2M 0746+20 b,Confirmed,30.00,25,25,,,,0.97,0.06,0.06,4640.00,25,25,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,1/20/2012,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,0.05,0.05,,,,0.12,0.09,0.09,0.09,0.003,0.003,,,,,2205,50,50,,,
2M 1207-39,Confirmed,24.00,6,6,,,,,,,,,,,,,,,,,,,,2001,3/9/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,150,150,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J12073346-3932539,,2M 1207-39,181.8875,-39.5483333,20.15,15.95,13,,,52.40,1.1,1.1,,,,0.03,,,,,,M8,0.01,0.003,0.003,,,,,,
2M 1207-39 b,Confirmed,4.00,1,1,,,,,,,,,,46,5,5,,,,,,,0.877863,2004,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 1207-39,181.8875,-39.5483333,20.15,15.95,13,,,52.40,1.1,1.1,,,,0.03,,,,,,M8,0.01,0.003,0.003,,,,,,
2M 1938+46 b,Confirmed,1.90,0.1,0.1,,,,,,,416.00,2,2,0.92,0.02,0.02,,,,,,,,2015,5/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,TTV,,Kepler-451 b,,2M  1938+46,294.6375,46.0663889,,,,,,,,,,,,0.60,0.03,0.03,,,,sdB+M,,,,,,,,,Kepler-451
